business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
74EX56P-uM5ZKIVlB4fe6Q,Chase Bank,3995 Van Dyke Rd,Lutz,FL,33558,28.1284110073,-82.5053832159,3.5,5,1,"Financial Services, Banks & Credit Unions"
x3wGEEDsJjveBKEbQ2amIQ,PNC Bank,7876 E 96th St,Fishers,IN,46037,39.9276149,-86.0245136,3.5,5,1,"Investing, Financial Services, Banks & Credit Unions, Real Estate, Mortgage Brokers, Home Services"
KFmyGXB4oW8JXw6qywhBYw,Citizens Bank,1234 Market St,Philadelphia,IL,19107,39.9518101724,-75.1611398,1.5,8,1,"Financial Services, Banks & Credit Unions"
c-BcqFmVYa5IGLGHCsQDJA,Bank of the West,855 Sparks Blvd,Sparks,PA,89434,39.5430145899,-119.7157871328,3.0,6,1,"Banks & Credit Unions, Financial Services"
c9xh7DfGTom0YSgZiBHPPQ,Heritage Bank of Nevada,2330 S Virginia St,Reno,FL,89502,39.501947,-119.800989,4.0,9,1,"Banks & Credit Unions, Financial Services"
4Xfot2NtGkaemcs56gfuiQ,Pyramid Federal Credit Union,8235 S Houghton Rd,Tucson,FL,85747,32.1022174,-110.7719866,4.5,7,1,"Banks & Credit Unions, Financial Services"
sRCokMWcZKTbzfV5tgVXyg,Montecito Bank & Trust,3802 State St,Santa Barbara,FL,93105,34.4408537,-119.7470661,1.5,7,1,"Banks & Credit Unions, Financial Services"
YMRnoKYvzokKWUU0vW5DhQ,Chase Bank,3768 State St,Santa Barbara,LA,93105,34.440738,-119.745015,3.5,8,1,"Home Services, Mortgage Brokers, Banks & Credit Unions, Real Estate, Financial Services"
jYljcntUpRqMWjSktQKGpg,Bank of America Financial Center,910 Talon Dr,O Fallon,IN,62269,38.592705,-89.932153,2.5,6,1,"Financial Services, Mortgage Brokers, Home Services, Real Estate, Banks & Credit Unions"
WnNtYpuxOtAjOY0leZLueg,Wells Fargo Bank,5100 Neil Rd,Reno,PA,89502,39.4765286,-119.780467,2.0,5,1,"Banks & Credit Unions, Financial Services"
txD3iYrslYxaoxrS0BaYWA,OneAZ Credit Union,1001 N Park Ave,Tucson,MO,85719,32.2346212,-110.9571135,3.0,13,0,"Financial Services, Banks & Credit Unions"
ffeLo7gX6UcFDj-ep7Vw_Q,Chase Bank,1885 E State Road 60,Valrico,PA,33594,27.9372072,-82.2558758,2.5,7,1,"Financial Services, Banks & Credit Unions"
7Uyb1Xfa6qAZS_X1mhp6Lg,Union Savings Bank,5881 E 82nd St,Indianapolis,PA,46250,39.9045759,-86.0676958,2.5,15,1,"Financial Services, Commercial Real Estate, Banks & Credit Unions, Home Services, Mortgage Brokers, Real Estate"
JWvEFTjToXfHWV4YMWQegg,Bank of America Financial Center,834 State St,Santa Barbara,ID,93101,34.420612492,-119.700302104,2.0,15,1,"Banks & Credit Unions, Real Estate, Home Services, Mortgage Brokers, Financial Services"
sTrHe42oUrfyuC6i9OHD2g,Suncoast Credit Union,1022 Central Ave,St. Petersburg,IN,33705,27.7708201,-82.649318,3.5,11,1,"Banks & Credit Unions, Financial Services, Auto Loan Providers, Automotive, Investing"
9IU40oLn0-ylHMw3kbGN1Q,Bank of the West,4950 Kietzke Ln,Reno,PA,89509,39.4781315,-119.7929606,1.5,15,1,"Banks & Credit Unions, Financial Services"
CVvpl0kQhYlfryT5-cAsNw,Fortren Funding,"1950 RT-70 E, Ste 300",Cherry Hill,NJ,08003,39.901508,-74.9614387,3.5,9,1,"Banks & Credit Unions, Mortgage Brokers, Real Estate, Home Services, Real Estate Services, Mortgage Lenders, Financial Services"
A33Bp0qss9FvHwZQtLMdlA,Cindy Wilson - State Farm Insurance Agent,"2710 Alt 19, Ste 304",Palm Harbor,TN,34683,28.092815,-82.772311,4.0,5,1,"Banks & Credit Unions, Auto Insurance, Insurance, Home & Rental Insurance, Financial Services, Life Insurance"
z7Wx0j1ME-EFvpxKDxFclQ,GTE Financial,4584 38th Ave N,St. Petersburg,AZ,33713,27.805913,-82.695673,1.5,5,1,"Financial Services, Banks & Credit Unions"
zmPRS6bjajqsyeuRVi4TKA,Bank of America Financial Center,8302 W Hillsborough Ave,Tampa,NV,33615,27.9961904,-82.5755902,2.0,12,0,"Banks & Credit Unions, Mortgage Brokers, Home Services, Financial Services, Real Estate"
